City,Country,Duration,Price,Airline,Airport,Depart,Return,Link,MinPrice,is_MinPrice
Bucareste,Roménia,955.0,221.8,Várias companhias aéreas,BUH,2023-06-28,2023-07-04,http://kayak.com/flights/OPO-BUH/2023-06-28/2023-07-04/,221.8,1.0
Luqa,Malta,1455.0,236.84,Várias companhias aéreas,MLA,2023-08-25,2023-08-29,http://kayak.com/flights/OPO-MLA/2023-08-25/2023-08-29/,236.84,1.0
Amã,Jordânia,1755.0,691.72,Várias companhias aéreas,AMM,2023-11-20,2023-11-25,http://kayak.com/flights/OPO-AMM/2023-11-20/2023-11-25/,691.72,1.0
Toulouse,França,100.0,160.72,easyJet,TLS,2023-04-05,2023-04-09,http://kayak.com/flights/OPO-TLS/2023-04-05/2023-04-09/,160.72,1.0
Beirute,Líbano,1940.0,400.37,Várias companhias aéreas,BEY,2023-06-01,2023-06-08,http://kayak.com/flights/OPO-BEY/2023-06-01/2023-06-08/,400.37,1.0
Riga,Letónia,1195.0,182.33,Ryanair,RIX,2023-06-07,2023-06-11,http://kayak.com/flights/OPO-RIX/2023-06-07/2023-06-11/,182.33,1.0
Punta Cana,República Dominicana,2569.0,1935.11,KLM,PUJ,2023-07-24,2023-07-31,http://kayak.com/flights/OPO-PUJ/2023-07-24/2023-07-31/,1935.11,1.0
Catânia,Itália,1315.0,172.93,Várias companhias aéreas,CTA,2023-07-03,2023-07-09,http://kayak.com/flights/OPO-CTA/2023-07-03/2023-07-09/,172.93,1.0
Colónia,Alemanha,1555.0,90.23,Ryanair,CGN,2023-04-19,2023-04-25,http://kayak.com/flights/OPO-CGN/2023-04-19/2023-04-25/,90.23,1.0
Bordéus,França,105.0,36.66,Ryanair,BOD,2023-05-04,2023-05-09,http://kayak.com/flights/OPO-BOD/2023-05-04/2023-05-09/,36.66,1.0
Sevilha,Espanha,1085.0,82.71,Várias companhias aéreas,SVQ,2023-05-04,2023-05-08,http://kayak.com/flights/OPO-SVQ/2023-05-04/2023-05-08/,82.71,1.0
Las Palmas,Espanha,770.0,163.54,Várias companhias aéreas,LPA,2023-03-19,2023-03-26,http://kayak.com/flights/OPO-LPA/2023-03-19/2023-03-26/,163.54,1.0
Santo Domingo,República Dominicana,1620.0,880.63,Air Europa,SDQ,2023-07-13,2023-07-20,http://kayak.com/flights/OPO-SDQ/2023-07-13/2023-07-20/,880.63,1.0
Bolonha,Itália,2935.0,200.19,SWISS,BLQ,2023-09-26,2023-09-30,http://kayak.com/flights/OPO-BLQ/2023-09-26/2023-09-30/,200.19,1.0
Faro,Portugal,75.0,33.84,Ryanair,FAO,2023-04-11,2023-04-18,http://kayak.com/flights/OPO-FAO/2023-04-11/2023-04-18/,33.84,1.0
Birmingham,Reino Unido,770.0,116.54,Ryanair,BHX,2023-04-25,2023-05-02,http://kayak.com/flights/OPO-BHX/2023-04-25/2023-05-02/,116.54,1.0
Guadalajara,México,1050.0,1149.42,Aeromexico,GDL,2023-08-11,2023-08-18,http://kayak.com/flights/OPO-GDL/2023-08-11/2023-08-18/,1149.42,1.0
Tallin,Estónia,785.0,247.18,Ryanair,TLL,2023-08-01,2023-08-08,http://kayak.com/flights/OPO-TLL/2023-08-01/2023-08-08/,247.18,1.0
Casablanca,Marrocos,235.0,172.93,TAP AIR PORTUGAL,CMN,2023-10-30,2023-11-04,http://kayak.com/flights/OPO-CMN/2023-10-30/2023-11-04/,172.93,1.0
Palermo,Itália,1630.0,187.03,Várias companhias aéreas,PMO,2023-07-03,2023-07-09,http://kayak.com/flights/OPO-PMO/2023-07-03/2023-07-09/,187.03,1.0
Florença,Itália,640.0,279.13,Várias companhias aéreas,FLR,2023-10-04,2023-10-11,http://kayak.com/flights/OPO-FLR/2023-10-04/2023-10-11/,279.13,1.0
Ibiza,Espanha,355.0,148.5,Air Europa,IBZ,2023-09-02,2023-09-09,http://kayak.com/flights/OPO-IBZ/2023-09-02/2023-09-09/,148.5,1.0
Lárnaca,Chipre,755.0,122.18,Várias companhias aéreas,LCA,2023-06-01,2023-06-06,http://kayak.com/flights/OPO-LCA/2023-06-01/2023-06-06/,122.18,1.0
